id,w,square footage,24-Hour,number,activity
00543,25.322576596,09,2,1200,02
00544,1522.9817889,03,2,15,15
00545,4637.8512935,04,2,0,01
00546,673.1729967,04,2,5,02
00547,964.60413185,04,2,4,25
00548,1849.1849629,04,1,17,14
00549,164.12923663,07,2,92,23
00550,789.93659277,02,2,8,15
00551,657.71092576,05,2,65,26
00552,1729.17335,02,2,1,02
00553,961.78281331,04,2,15,15
00554,3231.2895441,02,2,0,26
00555,1145.0798138,04,2,25,02
00556,190.58981791,06,2,40,02
00557,9.0929192199,08,2,350,02
00558,1197.3864068,02,2,12,15
00559,26.290298331,06,2,6,12
00560,48.841044419,04,2,20,23
00561,50.31915606,07,2,60,02
00562,953.18777657,02,2,24,15
00563,1134.749884,05,2,2,25
00564,15.945623796,03,2,5,14
00565,52.146233763,08,2,425,02
00566,1879.4560061,02,2,4,02
00567,105.83552153,07,2,45,05
00568,1117.7421223,04,2,75,02
00569,1667.7551609,02,2,5,02
00570,9.2846065541,07,2,5,01
00571,1879.4560061,02,2,5,02
00572,1807.4628666,02,2,15,23
00573,1031.3463294,04,2,1,12
00574,50.31915606,07,2,370,02
00575,17.191258213,09,1,856,18
00576,1807.4628666,02,2,3,26
00577,511.87856803,06,2,102,14
00578,810.40542332,02,2,12,15
00579,55.969326157,08,2,400,02
00580,908.28279654,02,2,8,15
00581,692.22122089,05,2,47,05
00582,1461.8570616,02,2,2,02
00583,115.00317705,07,1,300,16
00584,48.841044419,08,2,350,02
00585,36.189304782,08,1,800,18
00586,499.1203535,04,1,4,18
00587,48.841044419,08,2,800,02
00588,19.690263031,06,2,128,02
00589,583.35116997,03,2,8,14
00590,484.85166373,06,2,45,14
00591,7.1506304282,09,1,2405,16
00592,171.86695171,06,2,80,14
00593,1879.4560061,02,2,2,26
00594,1117.7421223,06,2,30,25
00595,196.32203422,06,1,100,08
00596,1276.538624,02,2,3,15
00597,1117.7421223,06,2,85,02
00598,887.44188343,02,2,2,91
00599,1387.0765871,02,2,5,13
00600,1729.17335,02,2,4,26
00601,1868.403437,02,2,2,02
00602,48.841044419,07,2,119,23
00603,31.847187548,08,2,92,05
00604,665.40891804,06,1,120,02
00605,583.6267448,05,2,17,25
00606,1868.403437,02,2,0,01
00607,48.841044419,06,2,400,02
00608,1879.4560061,03,2,12,08
00609,313.28621931,07,1,16,18
00610,1031.3463294,03,2,30,02
00611,2.6527447297,10,1,6500,16
00612,10.010882599,09,1,600,16
00613,19.690263031,07,2,500,08
00614,72.700390779,07,1,300,14
00615,1851.6697201,03,2,0,01
00616,55.549391794,07,2,49,26
00617,1484.5150471,05,2,10,91
00618,1667.7551609,02,1,2,06
00619,300.4597753,06,2,150,15
00620,941.81790866,04,2,1,05
00621,3782.1801042,02,2,5,26
00622,356.19828827,06,2,50,14
00623,292.10941321,06,1,75,16
00624,55.969326157,07,2,92,23
00625,139.16995492,07,2,300,07
00626,19.690263031,08,1,250,16
00627,265.00036535,07,2,11,05
00628,961.78281331,02,2,3,15
00629,48.841044419,08,2,120,05
00630,23.717553485,08,1,200,18
00631,160.42583102,07,2,125,14
00632,1879.4560061,02,2,3,02
00633,1170.3023772,04,2,5,05
00634,19.690263031,08,2,185,23
00635,968.32406379,03,2,27,08
00636,1807.4628666,02,2,9,26
00637,52.146233763,07,2,50,25
00638,961.78281331,02,2,3,15
00639,25.322576596,08,1,100,05
00640,452.41986913,07,1,85,23
00641,25.322576596,08,1,350,18
00642,1145.0798138,02,2,15,02
00643,239.38538189,06,2,50,14
00644,1807.4628666,02,2,3,12
00645,2140.9064605,03,2,13,14
00646,626.86457515,03,2,19,12
00647,1729.17335,02,2,1,25
00648,16.670351903,08,1,240,16
00649,84.055763395,07,2,135,14
00650,249.44526964,05,2,26,23
00651,55.969326157,10,2,2000,24
00652,4.9021003888,10,1,2500,16
00653,499.1203535,03,2,4,14
00654,1069.3275783,02,2,4,02
00655,5.5486482372,08,1,400,16
00656,23.717553485,03,2,33,23
00657,4458.2100608,02,1,1,05
00658,293.74609262,06,2,12,05
00659,53.724372726,07,2,170,02
00660,30.431064391,08,1,12,18
00661,304.22613362,06,2,13,05
00662,1047.883139,03,2,15,04
00663,75.480251744,08,2,340,13
00664,1117.7421223,02,2,5,05
00665,1807.4628666,02,2,2,02
00666,1879.4560061,03,2,22,02
00667,249.44526964,05,2,200,02
00668,1868.403437,02,2,4,15
00669,1162.262962,05,2,50,26
00670,1831.778257,02,2,5,14
00671,653.84310688,05,2,50,02
00672,1868.403437,03,1,4,12
00673,30.431064391,08,1,356,04
00674,74.844960294,09,2,11,05
00675,84.055763395,08,2,100,14
00676,1667.7551609,02,2,3,26
00677,23.717553485,07,2,10,14
00678,1851.6697201,02,2,2,26
00679,1807.4628666,02,2,1,02
00680,1868.403437,02,2,9,25
00681,316.08389453,04,1,4,07
00682,20.781268369,08,1,80,08
00683,53.802053293,06,1,138,17
00684,64.022070599,07,2,300,02
00685,1023.6082023,04,2,16,26
00686,880.78346233,04,2,20,08
00687,148.30270094,07,2,300,02
00688,1807.4628666,02,2,2,26
00689,1828.0523467,02,2,10,26
00690,1868.403437,02,1,8,07
00691,2249.135161,02,2,4,05
00692,9.9947341879,07,2,150,08
00693,1155.42801,04,2,4,13
00694,1390.8740006,02,2,0,01
00695,503.86330813,05,2,44,14
00696,77.110047137,07,2,225,02
00697,1879.4560061,03,2,3,25
00698,52.146233763,08,2,729,02
00699,171.86695171,07,2,85,14
00700,362.06989684,06,1,67,17
00701,1849.1849629,02,2,2,13
00702,23.717553485,10,2,500,24
00703,657.71092576,05,2,15,05
00704,1868.403437,02,2,1,05
00705,4637.8512935,02,2,20,02
00706,624.95414063,05,2,20,14
00707,751.72654486,04,2,1,18
00708,23.251171658,09,2,1600,02
00709,1155.42801,04,1,24,02
00710,20.323985535,08,1,900,16
00711,175.75631596,06,2,40,12
00712,503.86330813,03,2,8,12
00713,23.717553485,09,2,800,02
00714,2.6527447297,09,1,900,17
00715,276.95327433,08,2,115,23
00716,4.2903782569,10,1,3250,16
00717,665.40891804,04,2,11,25
00718,1851.6697201,03,2,3,02
00719,1729.17335,02,2,2,05
00720,23.251171658,08,2,60,05
00721,1162.262962,03,2,18,26
00722,499.1203535,04,1,2,18
00723,19.690263031,07,1,147,16
00724,23.717553485,09,2,140,24
00725,3855.0841305,02,2,0,05
00726,9.2846065541,06,1,100,02
00727,72.342689331,04,1,0,18
00728,71.165271563,09,2,100,05
00729,1868.403437,02,2,13,02
00730,1729.17335,03,1,1,12
00731,90.622000825,08,2,300,14
00732,2008.25287,06,2,55,02
00733,1069.3275783,04,2,19,26
00734,23.251171658,08,2,700,02
00735,177.34464265,04,2,2,12
00736,1667.7551609,02,2,3,15
00737,440.0460563,07,2,90,05
00738,190.58981791,05,2,19,12
00739,360.21806967,02,2,2,14
00740,212.42624205,08,1,75,07
00741,139.16995492,07,2,75,13
00742,139.16995492,07,1,68,18
00743,392.53816269,03,2,7,14
00744,168.38291517,06,2,70,05
00745,9.0929192199,08,2,2500,02
00746,227.79159189,07,2,19,05
00747,1484.5150471,02,2,4,14
00748,276.95327433,04,2,5,05
00749,121.01599934,05,1,28,17
00750,961.78281331,02,2,1,12
00751,657.71092576,05,2,2,12
00752,673.1729967,03,2,20,02
00753,697.46961475,02,2,1,15
00754,271.01509096,07,2,83,14
00755,4.54645961,09,1,500,16
00756,3231.2895441,02,2,0,01
00757,1007.0093005,03,2,15,13
00758,227.79159189,06,2,28,23
00759,1130.4747375,04,2,6,05
00760,1667.7551609,03,2,1,26
00761,1484.5150471,03,2,1,26
00762,583.35116997,04,2,0,01
00763,158.29956057,07,2,200,05
00764,226.82776714,06,2,0,01
00765,95.788437363,07,2,40,14
00766,4.9021003888,09,1,500,16
00767,30.431064391,08,2,140,02
00768,1879.4560061,02,2,6,26
00769,9.8042007776,09,1,1200,16
00770,145.50390319,05,1,5,17
00771,1879.4560061,02,2,2,15
00772,226.82776714,04,2,4,13
00773,7.5774326833,10,2,1250,24
00774,15.945623796,09,1,600,02
00775,10.078723969,08,1,450,16
00776,740.66582499,02,1,10,15
00777,673.6308309,07,2,305,02
00778,23.717553485,02,2,6,02
00779,1162.262962,04,2,20,25
00780,9.2846065541,07,1,73,16
00781,1879.4560061,04,2,2,12
00782,1851.6697201,03,2,16,02
00783,3782.1801042,02,2,8,05
00784,647.9871845,05,2,50,02
00785,1791.3103533,02,2,2,06
00786,23.717553485,06,2,35,23
00787,1879.4560061,02,2,6,15
00788,4637.8512935,02,2,2,05
00789,1831.778257,03,2,22,02
00790,1117.7421223,04,2,7,26
00791,1879.4560061,05,2,40,25
00792,1170.3023772,05,2,15,12
00793,1667.7551609,02,2,11,08
00794,535.13149688,06,2,2,05
00795,789.93659277,03,2,8,15
00796,2140.9064605,03,2,3,05
00797,1878.6010721,02,2,1,14
00798,1849.1849629,02,2,3,14
